design_version,group_id,scenario_key,scenario_label,scenario_n_stays,n_stays,rep,method,loss,oracle_loss,regret,regret_percent_of_oracle,stay_loss_sd,n_assessment_stays,calibration_p_lt,calibration_p_le,calibration_interval_violation,calibration_strict_absolute_error,offset_bias,offset_rmse,offset_correlation
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,unpenalized_level,1.8270376792629954,1.016894055957495,0.8101436233055004,79.6684392596512,1.4917673232920288,120,0.24331083268583267,0.24331083268583267,0.14331083268583267,0.14331083268583267,2.785727294291912,7.575902350729631,
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,tuned_level,1.057989495214969,1.016894055957495,0.04109543925747405,4.04127047618339,0.35628494381745945,120,0.060852226477226476,0.060852226477226476,0.03914777352277353,0.03914777352277353,-0.0003513888888888887,0.003706257221590616,
ademp-v2,10000154,transient_nonpersistent,Transient non-persistence,600,600,155,tuned_level_slope,1.057980381159198,1.016894055957495,0.041086325201702856,4.0403742121411526,0.35628958618804557,120,0.060852226477226476,0.060852226477226476,0.03914777352277353,0.03914777352277353,-0.00026054597143622583,0.0027851064933126523,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,oracle,0.9611461784622435,0.9611461784622435,0.0,0.0,0.3366073165874187,120,0.11380577755577756,0.11380577755577756,0.013805777555777554,0.013805777555777554,,,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,population,0.9787302336196608,0.9611461784622435,0.017584055157417344,1.8294881206884073,0.2836887467120372,120,0.06283820346320347,0.06283820346320347,0.037161796536796535,0.037161796536796535,,,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,raw_index_q10,1.7367983611434104,0.9611461784622435,0.7756521826811669,80.70075083918535,1.4505722358646866,120,0.22591133403633404,0.22591133403633404,0.12591133403633403,0.12591133403633403,,,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,affine_calibrated_q10,1.0330030802419505,0.9611461784622435,0.07185690177970705,7.47616787018519,0.3651597826703395,120,0.09651233026233026,0.09651233026233026,0.0034876697376697435,0.0034876697376697435,,,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,unpenalized_level,1.7367983611434104,0.9611461784622435,0.7756521826811669,80.70075083918535,1.4505722358646866,120,0.22591133403633404,0.22591133403633404,0.12591133403633403,0.12591133403633403,1.7884662264974522,7.000384901127711,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,tuned_level,0.9787578245819392,0.9611461784622435,0.01761164611969568,1.832358751909402,0.2835780278726509,120,0.06283820346320347,0.06283820346320347,0.037161796536796535,0.037161796536796535,-0.0006375000000000002,0.004093270222097621,
ademp-v2,10000155,transient_nonpersistent,Transient non-persistence,600,600,156,tuned_level_slope,0.9787771760390508,0.9611461784622435,0.017630997576807306,1.8343721248536287,0.28340092713829707,120,0.06283820346320347,0.06283820346320347,0.037161796536796535,0.037161796536796535,-0.001355977681885614,0.009217243575532335,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,oracle,0.9340089457684494,0.9340089457684494,0.0,0.0,0.2549291202779488,120,0.09695073445073442,0.09695073445073442,0.003049265549265587,0.003049265549265587,,,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,population,0.9906841581690561,0.9340089457684494,0.05667521240060669,6.067951774699283,0.22269794679417962,120,0.04529896029896029,0.04529896029896029,0.05470103970103971,0.05470103970103971,,,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,raw_index_q10,1.6257643416576286,0.9340089457684494,0.6917553958891792,74.06303751406175,1.1242893834565144,120,0.2219813751063751,0.2219813751063751,0.1219813751063751,0.1219813751063751,,,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,affine_calibrated_q10,1.0100341537388184,0.9340089457684494,0.07602520797036905,8.139665933051619,0.3355021486032777,120,0.09941401191401189,0.09941401191401189,0.000585988085988115,0.000585988085988115,,,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,unpenalized_level,1.6257643416576286,0.9340089457684494,0.6917553958891792,74.06303751406175,1.1242893834565144,120,0.2219813751063751,0.2219813751063751,0.1219813751063751,0.1219813751063751,2.381446742947842,6.946448830549872,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,tuned_level,0.9907200691219594,0.9340089457684494,0.05671112335351003,6.071796593645186,0.22266431393394873,120,0.04460451585451585,0.04460451585451585,0.055395484145484154,0.055395484145484154,-0.0005541666666666663,0.0037121235312299497,
ademp-v2,10000156,transient_nonpersistent,Transient non-persistence,600,600,157,tuned_level_slope,0.9907105371815246,0.9340089457684494,0.05670159141307518,6.070776053052077,0.2226701886222134,120,0.04460451585451585,0.04460451585451585,0.055395484145484154,0.055395484145484154,-0.00045567990496755696,0.002844501645348177,
ademp-v2,10000157,transient_nonpersistent,Transient non-persistence,600,600,158,oracle,0.9476888981373286,0.9476888981373286,0.0,0.0,0.2986740482488217,120,0.0931542994042994,0.0931542994042994,0.00684570059570061,0.00684570059570061,,,
ademp-v2,10000157,transient_nonpersistent,Transient non-persistence,600,600,158,population,0.9882288495363644,0.9476888981373286,0.04053995139903577,4.277770002235604,0.24801955603210762,120,0.04967925592925593,0.04967925592925593,0.05032074407074408,0.05032074407074408,,,
ademp-v2,10000157,transient_nonpersistent,Transient non-persistence,600,600,158,raw_index_q10,1.643087077176823,0.9476888981373286,0.6953981790394943,73.37831860289714,1.1044049748640803,120,0.19454193954193955,0.19454193954193955,0.09454193954193954,0.09454193954193954,,,
ademp-v2,10000157,transient_nonpersistent,Transient non-persistence,600,600,158,affine_calibrated_q10,0.9880096833970617,0.9476888981373286,0.04032078525973315,4.254643621866118,0.2999376597027705,120,0.10169818607318606,0.10169818607318606,0.0016981860731860587,0.0016981860731860587,,,
ademp-v2,10000157,transient_nonpersistent,Transient non-persistence,600,600,158,unpenalized_level,1.643087077176823,0.9476888981373286,0.6953981790394943,73.37831860289714,1.1044049748640803,120,0.19454193954193955,0.19454193954193955,0.09454193954193954,0.09454193954193954,1.238898916645931,6.8829345600979215,
