group_id,scenario_key,scenario_label,rep,n_stays,mean_index_count,mean_late_count,sd_index_count,sd_late_count,total_count_latent_level_correlation,observed_error_lag1_correlation,treatment_trigger_fraction,selected_shape_solver_converged_fraction
9000024,treatment_feedback,Treatment feedback,25,600,9.863333333333332,9.895,2.5610389342856736,2.6731787833987752,-0.0053741794006872,0.2426745212650265,0.2583333333333333,1.0
9000025,treatment_feedback,Treatment feedback,26,600,10.165,10.198333333333334,2.544648054814546,2.591690308140824,-0.0070894352041029,0.2648514541728134,0.27,1.0
9000026,treatment_feedback,Treatment feedback,27,600,9.938333333333333,9.766666666666667,2.6036824869872217,2.652788035789315,0.0127142716482512,0.2634173996310689,0.28,1.0
9000027,treatment_feedback,Treatment feedback,28,600,10.053333333333333,10.111666666666666,2.5432136064375004,2.6090629041129407,0.0639511754398591,0.2564626504240259,0.3083333333333333,1.0
9000028,treatment_feedback,Treatment feedback,29,600,10.001666666666669,10.193333333333332,2.554578963029487,2.566502245960396,-0.026464523664782,0.2538457612783936,0.2383333333333333,1.0
9000029,treatment_feedback,Treatment feedback,30,600,10.045,9.788333333333334,2.5574484493243625,2.5339492339210423,-0.1076130282287327,0.2482660288185646,0.2716666666666666,1.0
9000030,treatment_feedback,Treatment feedback,31,600,9.846666666666666,9.956666666666669,2.639716347048868,2.6727067099636463,0.0517486356803099,0.2682322088050693,0.325,1.0
9000031,treatment_feedback,Treatment feedback,32,600,9.975,10.016666666666667,2.597232699655591,2.634632999228405,0.0090587623247621,0.2517422543859676,0.2516666666666666,1.0
9000032,treatment_feedback,Treatment feedback,33,600,10.011666666666668,10.181666666666668,2.585731469870635,2.598702107455639,0.0676286713083072,0.2511748818007822,0.2616666666666666,1.0
9000033,treatment_feedback,Treatment feedback,34,600,10.053333333333333,9.971666666666666,2.520133729039518,2.501591591308434,0.0042336117497974,0.2389936824940446,0.2916666666666667,1.0
9000034,treatment_feedback,Treatment feedback,35,600,10.01,9.965,2.573766459811265,2.6448882881439943,0.0079894263592521,0.2475011297112629,0.265,1.0
9000035,treatment_feedback,Treatment feedback,36,600,9.695,9.926666666666666,2.624904799927253,2.599850173329576,-0.0894159371236157,0.2408874727371026,0.2683333333333333,1.0
9000036,treatment_feedback,Treatment feedback,37,600,10.085,9.943333333333332,2.57465008076774,2.5444539621494533,-0.0641505562186187,0.252358058197454,0.2616666666666666,1.0
9000037,treatment_feedback,Treatment feedback,38,600,9.933333333333334,10.025,2.5389563580078867,2.553149549289085,0.0250954399537874,0.259059263029141,0.24,1.0
9000038,treatment_feedback,Treatment feedback,39,600,9.823333333333334,10.103333333333332,2.575495586889191,2.652240472020702,0.0154001017810009,0.246304789878415,0.26,1.0
9000039,treatment_feedback,Treatment feedback,40,600,9.825,9.988333333333332,2.6081370678976152,2.5623830510658507,-0.0424883145895492,0.2641912097552621,0.305,1.0
10000020,transient_nonpersistent,Transient non-persistence,21,600,10.148333333333332,10.013333333333334,2.6149047337969336,2.589271989952416,,0.2443269649751961,0.0,1.0
10000021,transient_nonpersistent,Transient non-persistence,22,600,10.088333333333331,9.881666666666666,2.661892812354208,2.6525567510897496,,0.2397096060844799,0.0,1.0
10000022,transient_nonpersistent,Transient non-persistence,23,600,10.038333333333334,10.178333333333333,2.496782013497995,2.637826270741355,,0.2486418516183429,0.0,1.0
10000023,transient_nonpersistent,Transient non-persistence,24,600,10.058333333333334,9.84,2.601835211217801,2.60173308105227,,0.2504633555991842,0.0,1.0
10000024,transient_nonpersistent,Transient non-persistence,25,600,10.07,10.22,2.614669033917718,2.477599139454641,,0.250051393655936,0.0,1.0
10000025,transient_nonpersistent,Transient non-persistence,26,600,10.026666666666667,9.916666666666666,2.633282967615668,2.669256533123332,,0.2580414665364683,0.0,1.0
10000026,transient_nonpersistent,Transient non-persistence,27,600,10.003333333333334,9.943333333333332,2.543115139596376,2.5588477338633075,,0.2463225104169321,0.0,1.0
10000027,transient_nonpersistent,Transient non-persistence,28,600,9.93,10.095,2.4944211542609858,2.5449498258367904,,0.2445935563909462,0.0,1.0
10000028,transient_nonpersistent,Transient non-persistence,29,600,10.128333333333334,10.025,2.603810721361421,2.564892354072577,,0.252642924800299,0.0,1.0
10000029,transient_nonpersistent,Transient non-persistence,30,600,10.04,9.938333333333333,2.5342528278882184,2.557100276732285,,0.2439450677174523,0.0,1.0
10000030,transient_nonpersistent,Transient non-persistence,31,600,10.013333333333334,9.99,2.483297572505473,2.6886082565636267,,0.2450161178278881,0.0,1.0
10000031,transient_nonpersistent,Transient non-persistence,32,600,10.035,10.045,2.518799101726475,2.548948193829115,,0.2496564336628277,0.0,1.0
10000032,transient_nonpersistent,Transient non-persistence,33,600,9.933333333333334,10.023333333333332,2.6090037158919723,2.6547822264746244,,0.2483726713847872,0.0,1.0
10000033,transient_nonpersistent,Transient non-persistence,34,600,10.005,9.966666666666669,2.5050816467255648,2.5045312302626925,,0.2500075751210244,0.0,1.0
10000034,transient_nonpersistent,Transient non-persistence,35,600,9.981666666666667,10.11,2.595359391846075,2.595983799348036,,0.2562887386946644,0.0,1.0
10000035,transient_nonpersistent,Transient non-persistence,36,600,9.988333333333332,9.958333333333334,2.588312737466973,2.7003859037065645,,0.2599787063502918,0.0,1.0
10000036,transient_nonpersistent,Transient non-persistence,37,600,10.118333333333334,9.926666666666666,2.482862238838603,2.522940930829796,,0.2557691310530589,0.0,1.0
10000037,transient_nonpersistent,Transient non-persistence,38,600,10.028333333333334,10.095,2.5518065659722566,2.6509786519362435,,0.2566420663424814,0.0,1.0
10000038,transient_nonpersistent,Transient non-persistence,39,600,9.901666666666667,9.981666666666667,2.5624742625307366,2.671433726012373,,0.2515915725533627,0.0,1.0
10000039,transient_nonpersistent,Transient non-persistence,40,600,10.1,10.011666666666668,2.557518622122657,2.5381622620187456,,0.2702517563256871,0.0,1.0
40,ideal_large_dense,"Ideal: large, dense",41,600,12.071666666666667,12.05,2.564011338859201,2.5971925255985626,0.0752375473029385,0.0099344485305631,0.0,1.0
41,ideal_large_dense,"Ideal: large, dense",42,600,12.038333333333334,11.89,2.502792541622169,2.5843822703951043,0.05311902023414,0.026007938491567,0.0,1.0
42,ideal_large_dense,"Ideal: large, dense",43,600,11.85,12.016666666666667,2.586887443320127,2.677998322238473,-0.0238689662997834,0.0275869599780357,0.0,1.0
43,ideal_large_dense,"Ideal: large, dense",44,600,11.895,11.968333333333334,2.5445562043563803,2.573266417541779,0.0002061017555872,0.0116457441798997,0.0,1.0
