group_id,scenario_key,scenario_label,rep,method,selected_penalty
2000001,ideal_large_sparse,"Ideal: large, sparse",2,tuned_level_slope,0.1
2000002,ideal_large_sparse,"Ideal: large, sparse",3,tuned_level,0.03
2000002,ideal_large_sparse,"Ideal: large, sparse",3,tuned_level_slope,0.1
2000003,ideal_large_sparse,"Ideal: large, sparse",4,tuned_level,0.03
2000003,ideal_large_sparse,"Ideal: large, sparse",4,tuned_level_slope,0.1
2000004,ideal_large_sparse,"Ideal: large, sparse",5,tuned_level,0.1
2000004,ideal_large_sparse,"Ideal: large, sparse",5,tuned_level_slope,0.1
2000005,ideal_large_sparse,"Ideal: large, sparse",6,tuned_level,0.03
2000005,ideal_large_sparse,"Ideal: large, sparse",6,tuned_level_slope,0.1
2000006,ideal_large_sparse,"Ideal: large, sparse",7,tuned_level,0.1
2000006,ideal_large_sparse,"Ideal: large, sparse",7,tuned_level_slope,0.1
2000007,ideal_large_sparse,"Ideal: large, sparse",8,tuned_level,0.03
2000007,ideal_large_sparse,"Ideal: large, sparse",8,tuned_level_slope,0.1
2000008,ideal_large_sparse,"Ideal: large, sparse",9,tuned_level,0.03
2000008,ideal_large_sparse,"Ideal: large, sparse",9,tuned_level_slope,0.1
2000009,ideal_large_sparse,"Ideal: large, sparse",10,tuned_level,0.03
2000009,ideal_large_sparse,"Ideal: large, sparse",10,tuned_level_slope,0.1
2000010,ideal_large_sparse,"Ideal: large, sparse",11,tuned_level,0.03
2000010,ideal_large_sparse,"Ideal: large, sparse",11,tuned_level_slope,0.1
2000011,ideal_large_sparse,"Ideal: large, sparse",12,tuned_level,0.1
2000011,ideal_large_sparse,"Ideal: large, sparse",12,tuned_level_slope,0.1
2000012,ideal_large_sparse,"Ideal: large, sparse",13,tuned_level,0.1
2000012,ideal_large_sparse,"Ideal: large, sparse",13,tuned_level_slope,0.1
2000013,ideal_large_sparse,"Ideal: large, sparse",14,tuned_level,0.03
2000013,ideal_large_sparse,"Ideal: large, sparse",14,tuned_level_slope,0.1
2000014,ideal_large_sparse,"Ideal: large, sparse",15,tuned_level,0.1
2000014,ideal_large_sparse,"Ideal: large, sparse",15,tuned_level_slope,0.1
2000015,ideal_large_sparse,"Ideal: large, sparse",16,tuned_level,0.1
2000015,ideal_large_sparse,"Ideal: large, sparse",16,tuned_level_slope,0.1
2000016,ideal_large_sparse,"Ideal: large, sparse",17,tuned_level,0.03
2000016,ideal_large_sparse,"Ideal: large, sparse",17,tuned_level_slope,0.1
2000017,ideal_large_sparse,"Ideal: large, sparse",18,tuned_level,0.03
